,지점,지점명,일시,평균기온(°C),평균 풍속(m/s),상대습도
0,12,안면도(감),2012,11.1,3.2,79.21666666666667
1,12,안면도(감),2013,11.4,3.1,80.88333333333334
2,12,안면도(감),2014,12.2,2.8,77.175
3,12,안면도(감),2015,12.6,2.9,76.25
4,12,안면도(감),2016,13.0,2.9,75.375
5,12,안면도(감),2017,12.8,2.9,73.55
6,12,안면도(감),2018,12.7,2.8,74.41666666666667
7,12,안면도(감),2019,13.2,2.7,71.87
8,12,안면도(감),2020,13.1,2.8,72.45833333333333
9,12,안면도(감),2021,13.5,2.9,72.78333333333333
10,96,독도,2012,13.4,4.0,73.3
11,96,독도,2013,13.7,,69.81818181818181
12,96,독도,2014,13.6,3.6,71.16666666666667
13,96,독도,2017,13.7,3.9,69.33333333333333
14,96,독도,2019,14.5,3.8,73.14999999999999
15,96,독도,2020,14.3,3.8,76.58333333333333
16,96,독도,2021,14.7,4.1,74.60833333333333
17,116,관악(레),2012,8.7,3.2,73.08181818181818
18,116,관악(레),2013,9.4,3.2,76.16363636363636
19,116,관악(레),2014,10.1,3.0,74.35454545454546
20,116,관악(레),2015,10.3,3.0,72.10000000000001
21,116,관악(레),2016,10.2,3.1,74.96666666666667
22,116,관악(레),2018,8.9,3.2,74.125
23,116,관악(레),2019,9.7,3.1,76.075
24,116,관악(레),2020,9.3,3.2,71.85833333333333
25,116,관악(레),2021,10.0,3.2,70.88181818181819
26,160,부산(레),2013,11.5,5.5,62.0
27,160,부산(레),2014,11.5,5.2,71.99166666666666
28,160,부산(레),2015,11.7,5.3,73.05
29,160,부산(레),2016,12.1,5.4,73.96666666666667
30,160,부산(레),2017,11.7,5.3,69.50833333333334
31,160,부산(레),2018,11.7,5.2,73.875
32,160,부산(레),2019,12.2,5.3,76.6
33,160,부산(레),2020,11.8,5.3,73.125
34,160,부산(레),2021,12.1,5.2,70.74166666666666
35,175,진도(레),2012,11.2,5.1,76.60833333333333
36,175,진도(레),2013,11.6,4.9,76.43636363636364
37,175,진도(레),2014,11.8,4.8,77.60833333333333
38,175,진도(레),2015,11.7,4.7,74.90833333333333
39,175,진도(레),2016,12.3,4.8,78.96666666666665
40,175,진도(레),2017,,4.7,73.58181818181818
41,175,진도(레),2018,12.2,4.3,76.79166666666667
42,175,진도(레),2019,12.1,4.7,74.65454545454546
43,175,진도(레),2020,11.8,4.5,81.64999999999999
44,175,진도(레),2021,12.6,4.6,83.44166666666666
45,229,북격렬비도,2012,12.0,6.1,77.73
46,229,북격렬비도,2013,12.3,6.3,83.70833333333333
47,229,북격렬비도,2014,13.0,5.8,85.36666666666667
48,229,북격렬비도,2015,13.0,5.8,86.22500000000001
49,229,북격렬비도,2016,13.1,5.8,85.95833333333333
50,229,북격렬비도,2018,,5.9,84.325
51,229,북격렬비도,2019,12.9,5.6,81.575
52,229,북격렬비도,2020,12.7,6.1,73.89999999999999
53,296,북부산,2021,15.0,2.2,64.97500000000001
54,300,말도,2014,13.1,4.6,
55,300,말도,2015,13.4,4.7,
56,300,말도,2016,13.8,4.8,
