SIG_KOR_NM,평균기온(°C),SIG_CD,,시군
종로구,10.88333333,11110,11,서울특별시
중구,12.17,11140,11,서울특별시
용산구,13.82,11170,11,서울특별시
성동구,13.93333333,11200,11,서울특별시
광진구,13.66,11215,11,서울특별시
동대문구,13.63,11230,11,서울특별시
중랑구,13.93,11260,11,서울특별시
성북구,12.74,11290,11,서울특별시
강북구,13.56,11305,11,서울특별시
도봉구,12.49,11320,11,서울특별시
노원구,11.96,11350,11,서울특별시
은평구,11.55555556,11380,11,서울특별시
서대문구,12.72,11410,11,서울특별시
마포구,13.24444444,11440,11,서울특별시
양천구,13.98,11470,11,서울특별시
강서구,13.24444444,11500,11,서울특별시
구로구,13.05,11530,11,서울특별시
금천구,13.6,11545,11,서울특별시
영등포구,13.9,11560,11,서울특별시
영등포구,14.11,11560,11,서울특별시
동작구,13.57,11590,11,서울특별시
동작구,13.04444444,11590,11,서울특별시
관악구,12.52,11620,11,서울특별시
관악구,11.89,11620,11,서울특별시
서초구,13.78,11650,11,서울특별시
강남구,13.82222222,11680,11,서울특별시
송파구,14.06,11710,11,서울특별시
강동구,13.15555556,11740,11,서울특별시
서구,11.81111111,26140,26,부산광역시
영도구,14.1125,26200,26,부산광역시
영도구,14.975,26200,26,부산광역시
부산진구,14.88,26230,26,부산광역시
동래구,14.81,26260,26,부산광역시
남구,15.51,26290,26,부산광역시
남구,14.96666667,26290,26,부산광역시
북구,15.09,26320,26,부산광역시
해운대구,14.81111111,26350,26,부산광역시
사하구,14.45,26380,26,부산광역시
금정구,14.36,26410,26,부산광역시
강서구,15,26440,26,부산광역시
강서구,14.93,26440,26,부산광역시
사상구,15.4,26530,26,부산광역시
동구,15,27140,27,대구광역시
서구,14.22,27170,27,대구광역시
북구,14.16,27230,27,대구광역시
달성군,14.26,27710,27,대구광역시
중구,11.8625,28110,28,인천광역시
중구,12.13333333,28110,28,인천광역시
중구,12.1,28110,28,인천광역시
연수구,12.97,28185,28,인천광역시
연수구,12.54,28185,28,인천광역시
부평구,12.25555556,28237,28,인천광역시
서구,12.05555556,28260,28,인천광역시
강화군,11.82222222,28710,28,인천광역시
강화군,11.85,28710,28,인천광역시
강화군,11.98,28710,28,인천광역시
동구,9.11,29110,29,광주광역시
동구,14.14,29110,29,광주광역시
서구,14.27,29140,29,광주광역시
남구,14.3,29155,29,광주광역시
북구,13.55,29170,29,광주광역시
광산구,13.68,29200,29,광주광역시
동구,12.09,30110,30,대전광역시
중구,13.82,30140,30,대전광역시
대덕구,12.1,30230,30,대전광역시
남구,16,31140,31,울산광역시
동구,14.37,31170,31,울산광역시
북구,13.45555556,31200,31,울산광역시
북구,14.68888889,31200,31,울산광역시
울주군,13.35,31710,31,울산광역시
울주군,13.43,31710,31,울산광역시
울주군,14.63,31710,31,울산광역시
울주군,14.75,31710,31,울산광역시
세종특별자치시,12.58,36110,36,세종특별자치시
세종특별자치시,12.51,36110,36,세종특별자치시
세종특별자치시,12.29,36110,36,세종특별자치시
세종특별자치시,11.86,36110,36,세종특별자치시
세종특별자치시,12.6,36110,36,세종특별자치시
성남시 중원구,13.03,41133,41,성남시
의정부시,11.83,41150,41,의정부시
안양시동안구,13.17,41173,41,안양시
부천시,13.275,41190,41,부천시
광명시,13.775,41210,41,광명시
평택시,12.85555556,41220,41,평택시
안산시상록구,11.62222222,41271,41,안산시
안산시단원구,12.11,41273,41,안산시
고양시덕양구,12.75714286,41281,41,고양시
고양시덕양구,12,41281,41,고양시
고양시일산동구,11.76,41285,41,고양시
과천시,9.622222222,41290,41,과천시
과천시,12.58,41290,41,과천시
구리시,12.91,41310,41,구리시
남양주시,12.3,41360,41,남양주시
오산시,12.2,41370,41,오산시
오산시,12.5,41370,41,오산시
시흥시,12.56,41390,41,시흥시
군포시,13.57777778,41410,41,군포시
의왕시,11.55555556,41430,41,의왕시
하남시,13.25,41450,41,하남시
하남시,13.55,41450,41,하남시
용인시처인구,11.88888889,41461,41,용인시
용인시처인구,12.22,41461,41,용인시
용인시처인구,11.23,41461,41,용인시
이천시,12.7375,41500,41,이천시
이천시,11.88888889,41500,41,이천시
안성시,12.62222222,41550,41,안성시
안성시,12.57,41550,41,안성시
김포시,13.2,41570,41,김포시
김포시,12.15,41570,41,김포시
화성시,12.29,41590,41,화성시
화성시,12.59,41590,41,화성시
화성시,12.67,41590,41,화성시
광주시,11.68,41610,41,광주시
양주시,11.15555556,41630,41,양주시
포천시,11.28888889,41650,41,포천시
포천시,11.0875,41650,41,포천시
포천시,10.36666667,41650,41,포천시
포천시,10.55555556,41650,41,포천시
포천시,10.61,41650,41,포천시
여주시,11.8,41670,41,여주시
여주시,11.51,41670,41,여주시
가평군,10.61,41820,41,가평군
가평군,10.68,41820,41,가평군
가평군,11.48,41820,41,가평군
양평군,10.59,41830,41,양평군
양평군,10.45555556,41830,41,양평군
양평군,10.43,41830,41,양평군
춘천시,10.5,42110,42,춘천시
춘천시,10.56,42110,42,춘천시
춘천시,11.12222222,42110,42,춘천시
춘천시,11.73333333,42110,42,춘천시
춘천시,11.51428571,42110,42,춘천시
원주시,10.02,42130,42,원주시
원주시,10.6,42130,42,원주시
원주시,11.11,42130,42,원주시
원주시,11.64,42130,42,원주시
강릉시,7.81,42150,42,강릉시
강릉시,12.14,42150,42,강릉시
강릉시,13.37,42150,42,강릉시
강릉시,12.16,42150,42,강릉시
강릉시,12.98,42150,42,강릉시
강릉시,11.03333333,42150,42,강릉시
강릉시,8.833333333,42150,42,강릉시
동해시,12.6,42170,42,동해시
속초시,11.61,42210,42,속초시
속초시,13.06,42210,42,속초시
홍천군,6.633333333,42720,42,홍천군
홍천군,10.52,42720,42,홍천군
홍천군,9.311111111,42720,42,홍천군
홍천군,10.56,42720,42,홍천군
홍천군,8.27,42720,42,홍천군
횡성군,11.38,42730,42,횡성군
횡성군,10.19,42730,42,횡성군
횡성군,8.67,42730,42,횡성군
영월군,10.54444444,42750,42,영월군
영월군,10.2,42750,42,영월군
평창군,7.79,42760,42,평창군
평창군,8.73,42760,42,평창군
평창군,10.34,42760,42,평창군
평창군,8.91,42760,42,평창군
평창군,8.8,42760,42,평창군
평창군,8.45,42760,42,평창군
평창군,7.614285714,42760,42,평창군
정선군,10.32,42770,42,정선군
정선군,9.54,42770,42,정선군
정선군,10.76,42770,42,정선군
정선군,8.71,42770,42,정선군
철원군,9.51,42780,42,철원군
철원군,9.03,42780,42,철원군
철원군,10.05,42780,42,철원군
철원군,10.24,42780,42,철원군
철원군,10.06,42780,42,철원군
철원군,10.6,42780,42,철원군
화천군,8.888888889,42790,42,화천군
화천군,9.111111111,42790,42,화천군
화천군,10.83333333,42790,42,화천군
화천군,10.48,42790,42,화천군
화천군,9.875,42790,42,화천군
화천군,6.444444444,42790,42,화천군
양구군,8.97,42800,42,양구군
양구군,10.47,42800,42,양구군
양구군,8.98,42800,42,양구군
양구군,6.25,42800,42,양구군
인제군,10.48,42810,42,인제군
인제군,7.528571429,42810,42,인제군
인제군,10.26,42810,42,인제군
인제군,10.28,42810,42,인제군
인제군,9.777777778,42810,42,인제군
인제군,3.357142857,42810,42,인제군
고성군,4.628571429,42820,42,고성군_강원
고성군,12.39,42820,42,고성군_강원
고성군,12.81,42820,42,고성군_강원
고성군,8.9,42820,42,고성군_강원
고성군,12.09,42820,42,고성군_강원
양양군,12.46,42830,42,양양군
양양군,12.18888889,42830,42,양양군
양양군,11.71,42830,42,양양군
양양군,13.1,42830,42,양양군
청주시 상당구,12.17,43111,43,청주시
청주시 상당구,11.01,43111,43,청주시
청주시 상당구,12.24,43111,43,청주시
청주시 상당구,13.08888889,43111,43,청주시
청주시 청원구,12.73333333,43114,43,청주시
청주시 청원구,12.57,43114,43,청주시
충주시,11.6,43130,43,충주시
충주시,10.92,43130,43,충주시
충주시,11.22,43130,43,충주시
제천시,11.94,43150,43,제천시
제천시,10.53,43150,43,제천시
제천시,11.64,43150,43,제천시
제천시,11.15,43150,43,제천시
제천시,7.977777778,43150,43,제천시
보은군,10.65,43720,43,보은군
옥천군,12.42,43730,43,옥천군
옥천군,11.68,43730,43,옥천군
영동군,12.1,43740,43,영동군
영동군,12.16,43740,43,영동군
증평군,12.5,43745,43,증평군
진천군,12.04444444,43750,43,진천군
진천군,11.96,43750,43,진천군
괴산군,11.45,43760,43,괴산군
괴산군,10.72,43760,43,괴산군
음성군,11.79,43770,43,음성군
음성군,11.16,43770,43,음성군
단양군,12.05,43800,43,단양군
단양군,11.48,43800,43,단양군
천안시서북구,12.78,44133,44,천안시
공주시,12.55555556,44150,44,공주시
공주시,12.15,44150,44,공주시
공주시,12.13,44150,44,공주시
아산시,12.66666667,44200,44,아산시
아산시,12.75,44200,44,아산시
서산시,12.7375,44210,44,서산시
서산시,9.26,44210,44,서산시
논산시,12.88,44230,44,논산시
논산시,12.58888889,44230,44,논산시
계룡시,11.42222222,44250,44,계룡시
계룡시,9.011111111,44250,44,계룡시
서천군,12.85,44770,44,서천군
서천군,12.7,44770,44,서천군
청양군,11.44,44790,44,청양군
청양군,11.72,44790,44,청양군
홍성군,12.14444444,44800,44,홍성군
홍성군,12.58571429,44800,44,홍성군
홍성군,12.19,44800,44,홍성군
예산군,12.76,44810,44,예산군
태안군,12.71428571,44825,44,태안군
태안군,12.84,44825,44,태안군
태안군,12.9,44825,44,태안군
태안군,12.53,44825,44,태안군
태안군,12.57777778,44825,44,태안군
태안군,12.56,44825,44,태안군
전주시완산구,14.18333333,45111,45,전주시
익산시,13.23,45140,45,익산시
익산시,12.75555556,45140,45,익산시
익산시,12.72222222,45140,45,익산시
정읍시,13.1,45180,45,정읍시
정읍시,12.68,45180,45,정읍시
남원시,10.8,45190,45,남원시
김제시,12.77,45210,45,김제시
김제시,13.23,45210,45,김제시
완주군,12.79,45710,45,완주군
완주군,12.97,45710,45,완주군
진안군,11.14444444,45720,45,진안군
진안군,10.97,45720,45,진안군
진안군,10.81,45720,45,진안군
무주군,5.47,45730,45,무주군
무주군,11.82222222,45730,45,무주군
무주군,9.933333333,45730,45,무주군
임실군,12.28,45750,45,임실군
임실군,11.26,45750,45,임실군
순창군,12.74,45770,45,순창군
순창군,11.28,45770,45,순창군
고창군,13.17,45790,45,고창군
고창군,13.34,45790,45,고창군
부안군,13.01111111,45800,45,부안군
부안군,13.06,45800,45,부안군
부안군,13.47,45800,45,부안군
부안군,13.54,45800,45,부안군
여수시,13.8,46130,46,여수시
여수시,15.98,46130,46,여수시
여수시,15.04,46130,46,여수시
여수시,15.42,46130,46,여수시
여수시,15.1,46130,46,여수시
여수시,15.13,46130,46,여수시
순천시,15.03,46150,46,순천시
순천시,12.94,46150,46,순천시
나주시,13.42,46170,46,나주시
나주시,13.05,46170,46,나주시
광양시,14.68,46230,46,광양시
광양시,12,46230,46,광양시
담양군,13.54285714,46710,46,담양군
담양군,13.4,46710,46,담양군
곡성군,13.55,46720,46,곡성군
곡성군,12.92,46720,46,곡성군
곡성군,13.09,46720,46,곡성군
구례군,8.322222222,46730,46,구례군
구례군,13.39,46730,46,구례군
구례군,11.86,46730,46,구례군
고흥군,14.66,46770,46,고흥군
고흥군,14.41,46770,46,고흥군
고흥군,14.25,46770,46,고흥군
고흥군,14.56,46770,46,고흥군
보성군,12.83333333,46780,46,보성군
보성군,14.51,46780,46,보성군
보성군,12.98888889,46780,46,보성군
화순군,13.13,46790,46,화순군
화순군,13.64,46790,46,화순군
화순군,12.07,46790,46,화순군
화순군,13.45,46790,46,화순군
장흥군,14.29,46800,46,장흥군
장흥군,12.35,46800,46,장흥군
강진군,13.28888889,46810,46,강진군
강진군,14.6,46810,46,강진군
영암군,13.67,46830,46,영암군
영암군,13.53,46830,46,영암군
영암군,13.86,46830,46,영암군
무안군,13.84444444,46840,46,무안군
무안군,13.4,46840,46,무안군
무안군,14.07,46840,46,무안군
무안군,13.92,46840,46,무안군
함평군,13.85555556,46860,46,함평군
함평군,12.85,46860,46,함평군
영광군,13.85,46870,46,영광군
영광군,14.05,46870,46,영광군
장성군,13.02,46880,46,장성군
장성군,13.04,46880,46,장성군
완도군,14.53,46890,46,완도군
완도군,15.57777778,46890,46,완도군
완도군,14.13,46890,46,완도군
완도군,15.07777778,46890,46,완도군
완도군,14.76666667,46890,46,완도군
완도군,13.975,46890,46,완도군
진도군,11.92222222,46900,46,진도군
진도군,14.4125,46900,46,진도군
진도군,13.7,46900,46,진도군
진도군,14.07,46900,46,진도군
진도군,14.47,46900,46,진도군
진도군,14.42,46900,46,진도군
진도군,13.925,46900,46,진도군
신안군,13.92,46910,46,신안군
신안군,14.09,46910,46,신안군
신안군,14.8,46910,46,신안군
신안군,14.56666667,46910,46,신안군
신안군,13.87,46910,46,신안군
신안군,13.8,46910,46,신안군
신안군,14.45,46910,46,신안군
신안군,14.08,46910,46,신안군
신안군,13.84,46910,46,신안군
신안군,13.9,46910,46,신안군
신안군,14.4125,46910,46,신안군
신안군,14.41111111,46910,46,신안군
포항시 남구,14.86,47111,47,포항시
포항시 남구,13.53,47111,47,포항시
포항시 북구,13.62,47113,47,포항시
포항시 북구,11.43333333,47113,47,포항시
포항시 북구,13.2,47113,47,포항시
경주시,13.36666667,47130,47,경주시
경주시,13.3,47130,47,경주시
경주시,12.19,47130,47,경주시
경주시,12.22222222,47130,47,경주시
김천시,12.02,47150,47,김천시
김천시,12.33333333,47150,47,김천시
안동시,11.12,47170,47,안동시
안동시,12.23,47170,47,안동시
안동시,11.99,47170,47,안동시
구미시,13.09,47190,47,구미시
영주시,10.82,47210,47,영주시
영주시,11.48,47210,47,영주시
영천시,13.27,47230,47,영천시
영천시,12.08,47230,47,영천시
상주시,12.08,47250,47,상주시
상주시,11.99,47250,47,상주시
상주시,11.46,47250,47,상주시
문경시,11.53333333,47280,47,문경시
문경시,11.06,47280,47,문경시
경산시,14.22,47290,47,경산시
경산시,13.49,47290,47,경산시
군위군,11.86,47720,47,군위군
군위군,11.96,47720,47,군위군
군위군,12.1,47720,47,군위군
의성군,11.6,47730,47,의성군
의성군,12.84,47730,47,의성군
청송군,11.23,47750,47,청송군
청송군,10.41,47750,47,청송군
영양군,11.37,47760,47,영양군
영양군,10.25555556,47760,47,영양군
영덕군,13.04,47770,47,영덕군
청도군,12.97,47820,47,청도군
청도군,12.86,47820,47,청도군
고령군,12.82222222,47830,47,고령군
성주군,13.02,47840,47,성주군
칠곡군,12.73,47850,47,칠곡군
칠곡군,13.7,47850,47,칠곡군
칠곡군,10.81,47850,47,칠곡군
예천군,11.95,47900,47,예천군
예천군,12.79,47900,47,예천군
봉화군,8.53,47920,47,봉화군
봉화군,11.075,47920,47,봉화군
울진군,13.43,47930,47,울진군
울진군,12.51,47930,47,울진군
울진군,12.28,47930,47,울진군
울진군,11.53,47930,47,울진군
울진군,13.65,47930,47,울진군
울릉군,13.98571429,47940,47,울릉군
울릉군,14.2,47940,47,울릉군
울릉군,13.51666667,47940,47,울릉군
창원시 마산합포구,14.09,48125,48,창원시
창원시 마산회원구,15.1,48127,48,창원시
창원시 진해구,14.35,48129,48,창원시
진주시,13.23333333,48170,48,진주시
진주시,13.01,48170,48,진주시
진주시,13.34285714,48170,48,진주시
통영시,14.96666667,48220,48,통영시
통영시,14.62,48220,48,통영시
통영시,14.82,48220,48,통영시
사천시,14.73,48240,48,사천시
사천시,14.1,48240,48,사천시
김해시,13.83,48250,48,김해시
김해시,13.73,48250,48,김해시
밀양시,13.32,48270,48,밀양시
밀양시,13.08,48270,48,밀양시
거제시,14.8875,48310,48,거제시
거제시,14.9,48310,48,거제시
거제시,15.08,48310,48,거제시
거제시,14.43,48310,48,거제시
양산시,14,48330,48,양산시
양산시,14.3,48330,48,양산시
의령군,13.01,48720,48,의령군
함안군,13.46,48730,48,함안군
창녕군,13.22,48740,48,창녕군
창녕군,13.83,48740,48,창녕군
창녕군,13.74,48740,48,창녕군
고성군,13.83,48820,48,고성군_경남
고성군,13.15,48820,48,고성군_경남
남해군,14.9,48840,48,남해군
하동군,13.25555556,48850,48,하동군
하동군,14.42,48850,48,하동군
하동군,12.85,48850,48,하동군
