,시군,평균기온(°C)
0,서울특별시,13.143690475714285
1,부산광역시,14.650456349285715
2,대구광역시,14.41
3,인천광역시,12.156916667
4,광주광역시,13.174999999999999
5,대전광역시,12.67
6,울산광역시,14.33430555625
7,세종특별자치시,12.367999999999999
8,수원시,11.555556
9,성남시,13.03
10,의정부시,11.83
11,안양시,13.17
12,부천시,13.275
13,광명시,13.775
14,평택시,12.85555556
15,동두천시,11.155556
16,안산시,11.866111109999999
17,고양시,12.172380953333333
18,과천시,11.101111111
19,구리시,12.91
20,남양주시,12.3
21,오산시,12.35
22,시흥시,12.56
23,군포시,13.57777778
24,의왕시,11.55555556
25,하남시,13.4
26,용인시,11.77962963
27,파주시,11.2590972225
28,이천시,12.313194445
29,안성시,12.596111109999999
30,김포시,12.675
31,화성시,12.516666666666666
32,광주시,11.68
33,양주시,11.15555556
34,포천시,10.781722224000001
35,여주시,11.655000000000001
36,연천군,10.695
37,가평군,10.923333333333332
38,양평군,10.491851853333333
39,춘천시,11.085968252
40,원주시,10.8425
41,강릉시,11.189523808999999
42,동해시,12.6
43,태백시,11.732963
44,속초시,12.335
45,삼척시,11.732962963333334
46,홍천군,9.0588888888
47,횡성군,10.08
48,영월군,10.37222222
49,평창군,8.662040816285714
50,정선군,9.8325
51,철원군,9.915000000000001
52,화천군,9.272129629
53,양구군,8.6675
54,인제군,8.613915344
55,고성군_강원,10.163714285800001
56,양양군,12.3647222225
57,청주시,12.302037036666666
58,충주시,11.246666666666668
59,제천시,10.6475555556
60,보은군,10.65
61,옥천군,12.05
62,영동군,12.129999999999999
63,증평군,12.5
64,진천군,12.00222222
65,괴산군,11.085
66,음성군,11.475
67,단양군,11.765
68,천안시,12.78
69,공주시,12.27851852
70,보령시,13.08
71,아산시,12.708333334999999
72,서산시,10.998750000000001
73,논산시,12.734444445000001
74,계룡시,10.2166666655
75,당진시,12.43
76,금산군,12.13
77,부여군,12.58
78,서천군,12.774999999999999
79,청양군,11.58
80,홍성군,12.306719576666666
81,예산군,12.76
82,태안군,12.687010581666668
83,전주시,14.18333333
84,군산시,13.41
85,익산시,12.902592593333333
86,정읍시,12.89
87,남원시,10.8
88,김제시,13.0
89,완주군,12.879999999999999
90,진안군,10.974814813333333
91,무주군,9.075185184333334
92,장수군,10.974815
93,임실군,11.77
94,순창군,12.01
95,고창군,13.254999999999999
96,부안군,13.2702777775
97,목포시,13.808611
98,여수시,15.078333333333333
99,순천시,13.985
100,나주시,13.235
101,광양시,13.34
102,담양군,13.47142857
103,곡성군,13.186666666666667
104,구례군,11.190740740666667
105,고흥군,14.47
106,보성군,13.444074073333333
107,화순군,13.0725
108,장흥군,13.32
109,강진군,13.944444445
110,해남군,13.980555555
111,영암군,13.686666666666667
112,무안군,13.808611110000001
113,함평군,13.35277778
114,영광군,13.95
115,장성군,13.03
116,완도군,14.676203704999999
117,진도군,13.845674602857143
118,신안군,14.178356481666667
119,포항시,13.328666665999998
120,경주시,12.903777778
121,김천시,12.176666664999999
122,안동시,11.780000000000001
123,구미시,13.09
124,영주시,11.15
125,영천시,12.675
126,상주시,11.843333333333334
127,문경시,11.296666665
128,경산시,13.855
129,군위군,11.973333333333334
130,의성군,12.219999999999999
131,청송군,10.82
132,영양군,10.81277778
133,영덕군,13.04
134,청도군,12.915
135,고령군,12.82222222
136,성주군,13.02
137,칠곡군,12.413333333333334
138,예천군,12.37
139,봉화군,9.802499999999998
140,울진군,12.68
141,울릉군,13.900793653333333
142,창원시,14.513333333333334
143,진주시,13.195396823333333
144,통영시,14.802222223333333
145,사천시,14.415
146,김해시,13.780000000000001
147,밀양시,13.2
148,거제시,14.824375
149,양산시,14.15
150,의령군,13.01
151,함안군,13.46
152,창녕군,13.596666666666666
153,고성군_경남,13.49
154,남해군,14.9
155,하동군,13.50851852
156,산청군,12.2575
157,함양군,12.309999999999999
158,거창군,11.9
159,합천군,12.1675
160,제주시,13.398095238571429
161,서귀포시,14.408562091764706
